plan_id,tier,region,billing_cycle,price,users,storage_gb,api_calls_monthly
PLAN_F,free-tier,US,monthly,,,,
PLAN_P,team-5,US,monthly,,,,
PLAN_B,team-20,US,monthly,,,,
PLAN_E,enterprise,US,monthly,,,,
PLAN_F,free-tier,US,annual,,,,
PLAN_P,team-5,US,annual,,,,
PLAN_B,team-20,US,annual,,,,
PLAN_E,enterprise,US,annual,,,,
PLAN_F,free-tier,EU,monthly,,,,
PLAN_P,team-5,EU,monthly,,,,
PLAN_B,team-20,EU,monthly,,,,
PLAN_E,enterprise,EU,monthly,,,,
PLAN_F,free-tier,EU,annual,,,,
PLAN_P,team-5,EU,annual,,,,
PLAN_B,team-20,EU,annual,,,,
PLAN_E,enterprise,EU,annual,,,,
